Address,City,CustomerID,CustomerFirstName,CustomerLastName,SquareFootage,SquareMeters,Acreage,AskingPrice,SalePrice,SaleDate
36776 Atlantic Avenue,"Louieville, KY",208,triston,copeland,"5,175",481,0.6,615556.43,591980.62,8/3/2020
79180 Sherwood Drive,"Covington, KY",175,skyler,combs,"1,902",177,0.4,279883.34,226229.7,9/5/2020
19724 Lexington Court,"Louieville, KY",507,nadia,mora,"1,678",156,0.5,234716.31,194908.42,9/11/2020
72481 Cardinal Drive,"Covington, KY",148,ryland,skinner,"1,256",117,0.7,199055.34,170948.73,9/20/2020
12113 3rd Street East,"Lexington, KY",114,esperanza,mcdonald,"2,128",198,0.5,265276.8,227076.94,8/29/2020
85246 Roberts Road,"Lexington, KY",714,kamari,casey,"1,931",179,0.5,294003.67,284889.56,9/8/2020
76285 Delaware Avenue,"Erlanger, KY",182,efrain,mora,"1,710",159,0.9,225630.9,220057.81,7/13/2020
28310 Lafayette Street,"Jeffersontown, KY",451,laila,coleman,"2,123",197,0.5,324349.09,288735.56,9/30/2020
36821 Somerset Drive,"Lexington, KY",516,skyler,stevenson,"1,106",103,0.9,183841.33,176800.21,8/25/2020
26922 Broad Street,"St. Matthews, KY",36,jaliyah,stewart,"3,292",306,0.7,499798.63,434874.79,8/29/2020
29269 6th Street,"Louieville, KY",99,reid,banks,"1,238",115,0.5,200375.95,169498.01,8/1/2020
92734 Willow Drive,"Florence, KY",432,samara,peters,"2,881",268,0.3,348404.38,296317.92,7/27/2020
10965 Oak Street,"St. Matthews, KY",554,denisse,casey,"2,833",263,0.5,330672.56,290462.78,8/28/2020
53395 Bridle Court,"Erlanger, KY",306,leandro,munoz,"2,922",271,0.6,363070.9,328506.55,9/8/2020
22138 Liberty Street,"Lexington, KY",559,beckham,hanson,"2,685",249,8.9,867125.43,784488.37,9/22/2020
89953 Garden Street,"Richmond, KY",408,anderson,lucero,"1,519",141,0.8,235031.03,220036.05,8/17/2020
24680 Pleasant Street,"Richmond, KY",694,mekhi,hodge,"1,781",165,1,271825,248828.6,8/16/2020
51378 East Street,"St. Matthews, KY",413,jaliyah,owen,"2,724",253,0.4,352280.77,307752.48,7/22/2020
34042 Canterbury Road,"Covington, KY",271,carly,coleman,"1,407",131,1,222006.98,214969.36,8/13/2020
50203 Strawberry Lane,"Lexington, KY",50,anderson,stewart,"1,964",182,0.4,292900.14,263844.45,7/5/2020
18881 West Avenue,"Lexington, KY",178,laila,gibbs,"1,219",113,0.6,192930.3,158067.79,7/12/2020
40086 2nd Street East,"Covington, KY",310,samara,bernard,"2,896",269,0.3,331103.09,312031.56,8/3/2020
28679 Circle Drive,"St. Matthews, KY",121,anderson,roy,"1,019",95,0.4,151545.61,144726.06,8/17/2020
21673 Holly Court,"Louieville, KY",468,anderson,galloway,"2,693",250,0.1,331282.14,274831.66,9/1/2020
