Address,City,CustomerID,CustomerFirstName,CustomerLastName,SquareFootage,SquareMeters,Acreage,AskingPrice,SalePrice,SaleDate
73842 Hartford Road,"Louieville, KY",418,carly,ray,"1,116",104,0.8,204486.93,170153.57,10/10/2020
96422 6th Street West,"Frankfort, KY",710,efrain,mason,"2,030",189,0.1,284708.28,256265.93,11/15/2020
93402 Catherine Street,"Jeffersontown, KY",517,thalia,munoz,"2,596",241,0.7,425316.15,392439.21,11/10/2020
82866 Heather Court,"Louieville, KY",209,anderson,briggs,"2,433",226,0.4,368956.17,345933.3,12/21/2020
46152 Park Avenue,"Georgetown, KY",117,reid,hodge,"1,382",128,0.3,203786.68,196552.25,12/6/2020
77445 Cedar Court,"Jeffersontown, KY",79,shyanne,hutchinson,"1,652",153,0.6,206772.66,179954.24,10/2/2020
72588 Country Club Road,"Jeffersontown, KY",753,laila,skinner,"9,922",922,0.8,1325395.38,1245739.12,12/23/2020
17484 Edgewood Road,"Louieville, KY",591,kamari,copeland,"6,790",631,0.6,863190.19,724130.25,11/18/2020
86859 Linden Avenue,"Lexington, KY",166,leandro,george,"1,429",133,0.9,226285.8,218297.91,10/22/2020
76755 Church Street,"Louieville, KY",150,esperanza,vincent,"2,013",187,0.9,280808.66,253149.01,10/21/2020
64105 Clinton Street,"Nicholasville, KY",251,beckham,hodge,"7,485",695,6.2,1099477.49,1081116.21,10/16/2020
31965 Church Street South,"Florence, KY",690,abram,hodge,"2,426",225,0.8,400924.49,325510.59,10/19/2020
64661 5th Street North,"Lexington, KY",470,dakota,combs,"2,475",230,0.6,366559.18,299222.26,11/10/2020
83221 Old York Road,"Richmond, KY",531,shyanne,combs,"1,409",131,0.1,204933.77,173251.01,10/28/2020
15096 Crescent Street,"Jeffersontown, KY",706,skyler,gibbs,"2,234",208,0.2,235735.01,201482.71,10/18/2020
75510 Hawthorne Avenue,"Jeffersontown, KY",445,fisher,mcdonald,"1,444",134,19.9,1355739.21,1151971.61,10/23/2020
94469 Arch Street,"Jeffersontown, KY",588,ryland,mcdonald,"2,563",238,0.7,321969.92,263950.94,11/13/2020
97829 4th Street South,"Georgetown, KY",653,esperanza,banks,"2,260",210,0.5,369956.85,338510.52,11/28/2020
66160 Ridge Road,"Louieville, KY",485,abram,mason,"1,621",151,27.9,2445852.3,2192217.42,11/27/2020
93066 Union Street,"Richmond, KY",597,mohamed,banks,"2,756",256,0.5,334796.04,310623.77,10/16/2020
24804 Fairview Road,"Jeffersontown, KY",353,ryland,hodge,"1,494",139,1,276696.01,225064.53,11/7/2020
89108 5th Street West,"Covington, KY",262,dakota,hanson,"1,277",119,0.4,218169.88,188106.07,11/13/2020
29139 College Avenue,"Georgetown, KY",576,brylee,mcdonald,"1,487",138,0.2,180459.62,170750.89,12/11/2020
18899 Queen Street,"Lexington, KY",482,thalia,hodge,"5,308",493,0.2,664379.43,556617.09,12/24/2020
40348 Riverside Drive,"Louieville, KY",751,esperanza,stewart,"2,844",264,0.8,343556.27,330226.29,11/18/2020
90215 Walnut Avenue,"Covington, KY",726,shyanne,coleman,"2,613",243,0.4,316535.81,310679.9,10/10/2020
73928 Chestnut Avenue,"Jeffersontown, KY",420,samara,stewart,"2,131",198,0.5,325147.85,305086.23,11/2/2020
33031 Laurel Drive,"Georgetown, KY",169,beckham,hutchinson,"2,560",238,0.9,440914,430464.34,12/14/2020
51037 Church Road,"Jeffersontown, KY",356,taniya,hutchinson,"1,786",166,0.9,327877.41,267449.6,12/15/2020
73661 Central Avenue,"Lexington, KY",564,triston,vincent,"2,029",188,0.7,328416.69,299647.38,12/3/2020
83297 Front Street North,"Louieville, KY",60,beckham,mora,"2,305",214,0.7,272389.87,260214.04,12/18/2020
34595 Oak Avenue,"Erlanger, KY",674,ryland,hutchinson,"5,712",531,0.9,717527.25,678637.28,11/9/2020
26427 Water Street,"Florence, KY",684,laila,mason,"2,048",190,0.1,284294.17,284038.31,12/7/2020
75822 Chestnut Street,"Georgetown, KY",518,triston,mason,"2,639",245,0.6,297598.49,263672.26,12/15/2020
49788 Brandywine Drive,"St. Matthews, KY",529,kamari,boyd,"6,296",585,0.6,816419.73,782619.96,12/25/2020
93967 Jefferson Street,"Florence, KY",274,shyanne,vincent,"1,660",154,0.4,216014.04,187392.18,11/22/2020
69992 Ridge Avenue,"St. Matthews, KY",479,taniya,stevenson,"2,328",216,0.8,337766.76,303145.67,12/15/2020
22871 Poplar Street,"Lexington, KY",133,fisher,hanson,"4,611",428,1,685154.16,682139.48,11/29/2020
69620 Lake Street,"Georgetown, KY",477,brylee,owen,"2,086",194,0.4,268983.41,254861.78,10/20/2020
