Address,City,CustomerID,CustomerFirstName,CustomerLastName,SquareFootage,SquareMeters,Acreage,AskingPrice,SalePrice,SaleDate
12033 Warren Street,"St. Matthews, KY",392,mohamed,owen,"2,752",256,0.1,404719.17,334581.34,4/17/2020
90548 7th Avenue,"Jeffersontown, KY",293,skyler,munoz,"9,528",885,0.6,1203374.67,968235.26,5/27/2020
48929 Fawn Lane,"St. Matthews, KY",376,leandro,hodge,"1,175",109,0.7,213791.96,200600.99,4/18/2020
80164 Dogwood Lane,"Jeffersontown, KY",402,jaliyah,lucero,"2,750",255,0.9,377296.38,372693.36,4/28/2020
67824 Lake Avenue,"Georgetown, KY",421,leandro,mason,"1,520",141,0.9,275084.16,234069.11,4/29/2020
72093 Canal Street,"Jeffersontown, KY",161,esperanza,carrillo,"4,117",382,0.5,561036.81,480808.54,4/18/2020
67966 Main Street North,"Louieville, KY",51,savion,peters,"9,938",923,0.8,1044091.92,979567.04,5/8/2020
78335 Ashley Court,"Florence, KY",587,kamari,ray,"2,275",211,0.6,380368.18,314488.41,4/15/2020
87356 8th Street,"St. Matthews, KY",580,pamela,munoz,"2,891",269,0.9,430456.94,415347.9,4/9/2020
98749 Jefferson Court,"Florence, KY",235,kamari,roy,"1,541",143,10,781520.48,649677.97,5/21/2020
85888 Summit Street,"Covington, KY",132,denisse,briggs,"1,046",97,3,311965.71,286914.87,4/19/2020
84136 Cherry Street,"Jeffersontown, KY",604,efrain,stevenson,"3,770",350,0.3,498865.01,449876.47,5/23/2020
19023 John Street,"Florence, KY",655,josue,hutchinson,"1,771",165,0.6,302289.44,265077.61,5/16/2020
77891 Green Street,"Louieville, KY",672,josue,stewart,"2,152",200,0.2,319177.44,309634.03,5/23/2020
26747 Oxford Road,"Georgetown, KY",435,laila,bernard,"2,054",191,0.9,293308.88,268612.27,4/22/2020
28288 8th Avenue,"Florence, KY",440,mohamed,hodge,"1,990",185,0.7,255502.98,230744.74,4/3/2020
21774 Rosewood Drive,"Louieville, KY",295,brylee,mason,"2,639",245,0.6,357033.15,337289.22,4/18/2020
20192 Park Street,"Lexington, KY",411,carly,mcdonald,"2,372",220,0.4,369378.35,356523.98,5/29/2020
59434 Hillside Drive,"Florence, KY",224,ryland,stevenson,"8,009",744,25.9,2989060.47,2541897.02,6/11/2020
29827 Laurel Street,"Georgetown, KY",136,laila,owen,"2,139",199,0.2,235844.04,219429.3,6/22/2020
70197 Grove Avenue,"Georgetown, KY",65,reid,galloway,"2,800",260,0.5,454562.43,452744.18,5/8/2020
30641 Inverness Drive,"Richmond, KY",185,pamela,casey,"9,016",838,0.3,970620.8,862784.83,4/17/2020
17370 Fulton Street,"Jeffersontown, KY",617,dakota,george,"2,131",198,0.2,328867.33,303149.9,6/4/2020
85256 3rd Street North,"Richmond, KY",248,esperanza,lucero,"1,738",161,0.3,238996.23,224393.56,4/3/2020
49505 Howard Street,"Erlanger, KY",110,kamari,banks,"4,825",448,0.4,528084.74,492227.78,6/10/2020
